mdn-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
5,lseh-WeiGuoJia-HongYangDong-2.xml,3.0,2.0,4.25,1.0,7.0,16;10;32;12;15;11
6,lseh-WeiGuoJia-HongYangDong-3.xml,2.0,2.0,4.0,1.0,6.0,16;8;31;12;17;12
7,lseh-WeiKaiYan-RangXuZhou.xml,2.0,1.0,4.0,1.0,8.0,10;18;10;11
8,lseh-XinZhongYou-WenZhaoGuan.xml,2.0,1.0,3.0,1.0,6.0,8;13;14;15;12;16;18;9;11;8;8;8;8
9,lseh-XuMaoGong-QinQiongFaPei.xml,2.5,1.0,4.0,1.0,8.0,14;9;9
10,lseh-YangYanZhao-PengBei.xml,2.0,1.0,3.0,1.0,6.0,12;7;7;11;10
11,lseh-YiLunMing-WenZhaoGuan-1.xml,2.0,1.0,3.0,1.0,6.0,8;14;14;16;12;16;18;9;11;8;8;8;8
12,lseh-YiLunMing-ZhuoFangCao-1.xml,2.0,1.0,3.0,1.0,5.0,12;12;11;11;15;7;24
13,lseh-ZenNengGou-BaDaChui.xml,2.0,1.0,3.0,1.0,4.0,8;9;17;10
14,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,1.0,2.75,1.0,4.0,11
Avg,,2.0,1.0,3.0,1.0,6.0,12;16;8;10;7;10;14;13;13;8;16;7;9;9;10;17;7;7;10;12;8;14;28;10;15;45;9;13;14;16;10;7;32;12;15;11;16;8;31;12;17;12;10;18;8;10;11;7;8;13;14;15;12;16;18;9;11;8;8;8;8;14;9;8;9;12;7;7;11;10;8;14;14;16;12;16;18;9;11;8;8;8;8;12;12;11;11;15;7;24;8;9;17;10;11
mdn-ls-eh-yb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,3.0,2.0,4.0,1.0,5.0,12;16;10;10;14;13
2,lseh-NiangZiBu-SouGuJiuGu.xml,2.0,2.0,4.0,1.0,7.0
3,lseh-TuZeiZuo-SouGuJiuGu.xml,4.0,2.0,5.5,1.0,6.0,17;12
4,lseh-WeiGuoJia-HongYangDong-1.xml,3.0,2.0,6.0,1.0,6.0,14;28;15;45
5,lseh-WeiGuoJia-HongYangDong-2.xml,4.0,3.0,5.0,2.0,7.0,16;32
6,lseh-WeiGuoJia-HongYangDong-3.xml,2.0,2.0,4.25,1.0,6.0,16;31
7,lseh-WeiKaiYan-RangXuZhou.xml,2.0,2.0,4.0,1.0,5.0,10;18;11
8,lseh-XinZhongYou-WenZhaoGuan.xml,3.0,2.0,4.0,1.0,5.0,8;14;12;16;8
9,lseh-XuMaoGong-QinQiongFaPei.xml,3.5,2.75,5.25,1.0,6.0,14
10,lseh-YangYanZhao-PengBei.xml,3.0,2.0,3.0,1.0,3.0,6;12;6
11,lseh-YiLunMing-WenZhaoGuan-1.xml,3.0,2.0,5.0,1.0,8.0,14;12;16
12,lseh-YiLunMing-ZhuoFangCao-1.xml,3.0,2.0,4.0,1.0,5.0,12;12;15
13,lseh-ZenNengGou-BaDaChui.xml,3.0,2.0,3.25,1.0,4.0,8;9;17
Avg,,3.0,2.0,4.0,1.0,7.0,12;16;10;10;14;13;17;12;14;28;15;45;16;32;16;31;10;18;11;8;14;12;16;8;14;12;8;14;12;16;8;12;12;15;8;9;17
mdn-ls-eh-yb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-NiangZiBu-SouGuJiuGu.xml,2.0,1.25,3.0,1.0,5.0,6;10
2,lseh-WeiKaiYan-RangXuZhou.xml,1.5,1.0,2.0,1.0,3.0,4
3,lseh-XinZhongYou-WenZhaoGuan.xml,2.0,1.0,2.0,1.0,3.0,4;5;5;4
4,lseh-XuMaoGong-QinQiongFaPei.xml,2.0,1.0,3.5,1.0,4.0,9;8
5,lseh-YangYanZhao-PengBei.xml,2.0,1.25,2.0,1.0,3.0,11
6,lseh-YiLunMing-WenZhaoGuan-1.xml,2.0,1.0,2.0,1.0,3.0,4;5;5;4
7,lseh-YiLunMing-ZhuoFangCao-1.xml,2.0,1.0,3.0,1.0,5.0
Avg,,2.0,1.0,3.0,1.0,6.0,10;9;8;11
mdn-ls-eh-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,2.0,2.0,4.0,1.0,7.0,8;13;8;16
2,lseh-NiangZiBu-SouGuJiuGu.xml,2.0,1.0,3.0,1.0,6.0,9;9
3,lseh-TuZeiZuo-SouGuJiuGu.xml,2.5,1.25,6.5,1.0,10.0
4,lseh-WeiGuoJia-HongYangDong-1.xml,2.0,1.75,3.25,1.0,4.0,10;9;13;14
5,lseh-WeiGuoJia-HongYangDong-2.xml,2.5,2.0,3.25,1.0,4.0,10;12;15;11
6,lseh-WeiGuoJia-HongYangDong-3.xml,2.0,1.0,3.25,1.0,4.0,8;12;17;12
7,lseh-WeiKaiYan-RangXuZhou.xml,2.0,1.0,4.0,1.0,8.0,10
8,lseh-XinZhongYou-WenZhaoGuan.xml,2.0,1.0,3.0,1.0,6.0,13;15;18;9;11;8;8;8
9,lseh-XuMaoGong-QinQiongFaPei.xml,2.0,1.0,3.5,1.0,5.0,9
10,lseh-YangYanZhao-PengBei.xml,2.0,1.0,3.0,1.0,6.0,7;7;10
11,lseh-YiLunMing-WenZhaoGuan-1.xml,2.0,1.0,3.0,1.0,6.0,14;16;18;9;11;8;8;8
12,lseh-YiLunMing-ZhuoFangCao-1.xml,2.0,1.0,3.0,1.0,5.0,11;11;7;24
13,lseh-ZenNengGou-BaDaChui.xml,2.0,1.0,3.0,1.0,3.0,10
14,sdeh-WenSanNiang-SanNiangJiaoZi.xml,2.0,1.0,2.75,1.0,4.0,11
Avg,,2.0,1.0,3.0,1.0,6.0,8;7;13;8;16;9;9;7;7;10;8;10;9;13;14;10;12;15;11;8;12;17;12;8;10;7;13;15;18;9;11;8;8;8;9;7;7;10;14;16;18;9;11;8;8;8;11;11;7;24;10;11
mdn-ls-xp-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,3.5,2.0,4.75,1.0,8.0,14;10;38;25;9;31
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,3.5,2.0,4.75,1.0,8.0,14;10;38;25;9;31
3,lsxp-WoBenShi-KongChengJi-1.xml,3.0,2.0,4.0,1.0,7.0,21;33;10;26;9;19;12
4,lsxp-WoBenShi-KongChengJi-2.xml,3.0,2.0,4.0,1.0,6.0,27;31;10;20;8;10;21;11
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,3.0,2.0,4.0,1.0,7.0,15
Avg,,3.0,2.0,4.0,1.0,7.0,14;10;8;38;25;9;31;14;10;8;38;25;9;31;21;33;10;26;9;19;12;27;31;10;20;8;10;21;11;15
mdn-ls-xp-mb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,3.0,2.0,4.25,1.0,6.0,14;8;38;25;9;31
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,3.0,2.0,4.25,1.0,6.0,14;8;38;25;9;31
3,lsxp-WoBenShi-KongChengJi-1.xml,3.0,2.0,5.0,1.0,9.0,21;33;10;26;19;12
4,lsxp-WoBenShi-KongChengJi-2.xml,3.0,2.0,4.0,1.0,5.0,27;31;10;20;10;21;11
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,3.0,2.0,4.0,1.0,7.0,15
Avg,,3.0,2.0,4.0,1.0,7.0,14;8;38;25;9;31;14;8;38;25;9;31;21;33;10;26;9;19;12;27;31;10;20;10;21;11;15
mdn-ls-xp-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,4.0,2.0,4.75,1.0,7.0,10
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,4.0,2.0,4.75,1.0,7.0,10
3,lsxp-WoBenShi-KongChengJi-1.xml,2.5,2.0,4.0,1.0,7.0
4,lsxp-WoBenShi-KongChengJi-2.xml,2.0,2.0,4.0,1.0,6.0,8
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,3.0,2.0,3.75,1.0,5.0,7
Avg,,3.0,2.0,4.0,1.0,7.0,10;10;8
mdn-ls-xp-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,3.0,1.0,4.0,1.0,8.0,10;11
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,3.0,2.0,4.0,1.0,7.0,8;8
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,3.0,2.0,4.0,1.0,7.0
4,lsxp-QingGongYan-FaDongWu.xml,3.0,2.0,4.75,1.0,7.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,3.5,2.0,4.0,1.0,7.0,9
6,lsxp-WoBenShi-KongChengJi-1.xml,3.0,1.0,4.0,1.0,5.0
7,lsxp-WoBenShi-KongChengJi-2.xml,2.5,1.0,4.0,1.0,5.0
8,lsxp-YiShiWu-YuCangJian.xml,3.0,2.0,4.0,1.0,7.0,8;11;17
9,lsxp-ZiCongQian-ZhuLianZhai.xml,3.0,2.0,4.0,1.0,7.0,15;8;11
10,lsxp-ZiGuDao-HuangHeLou.xml,2.0,2.0,3.0,1.0,4.0,6;8;5;7;5
Avg,,3.0,2.0,4.0,1.0,7.0,10;11;8;8;8;9;8;11;17;15;8;11;8
mdn-ls-xp-yb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,3.0,1.0,4.0,1.0,6.0,10
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,3.0,2.0,4.0,1.0,7.0
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,3.0,1.25,3.0,1.0,5.0,6;6;6
4,lsxp-QingGongYan-FaDongWu.xml,3.0,1.5,4.5,1.0,7.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,3.5,2.25,5.0,1.0,9.0
6,lsxp-YiShiWu-YuCangJian.xml,2.0,2.0,3.5,1.0,5.0,6;7;6;11;17
7,lsxp-ZiCongQian-ZhuLianZhai.xml,4.0,2.0,5.0,1.0,7.0,15;11
8,lsxp-ZiGuDao-HuangHeLou.xml,2.0,1.5,3.5,1.0,5.0,7
Avg,,3.0,2.0,4.0,1.0,7.0,10;9;11;17;15;11
mdn-ls-xp-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-HenPingWang-WenZhaoGuan.xml,3.0,1.0,4.5,1.0,8.0,11
2,lsxp-LiangGuoJiao-ShiJieTing-1.xml,3.0,3.0,4.5,1.0,6.0,7;8;8
3,lsxp-LiangGuoJiao-ShiJieTing-2.xml,3.0,2.0,5.0,1.0,7.0
4,lsxp-QingGongYan-FaDongWu.xml,3.0,2.0,4.5,1.0,7.0
5,lsxp-ShenGongWu-LongFengChengXiang.xml,3.5,2.25,4.0,1.0,5.0
6,lsxp-WoBenShi-KongChengJi-1.xml,3.0,1.0,4.0,1.0,5.0
7,lsxp-WoBenShi-KongChengJi-2.xml,2.5,1.0,4.0,1.0,5.0
8,lsxp-YiShiWu-YuCangJian.xml,3.0,2.0,4.0,1.0,6.0,8
9,lsxp-ZiCongQian-ZhuLianZhai.xml,2.0,2.0,3.5,1.0,4.0,7;8
10,lsxp-ZiGuDao-HuangHeLou.xml,2.0,2.0,3.0,1.0,4.0,6;8;5
Avg,,3.0,2.0,4.0,1.0,7.0,11;8;8;8;8;8;8
mdn-ls-xp-kb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,2.0,1.0,2.0,1.0,3.0,4;48
2,lsxp-CiShiJian-HuaiHeYing-2.xml,2.0,1.0,2.0,1.0,3.0,40
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,8;4;4;4
4,lsxp-JiangShenEr-SanJiaDian.xml,1.5,1.0,2.0,1.0,3.0,5;4;4;4;4;4;4;5;5;5;4
5,lsxp-JianMaSu-ZhanMaSu.xml,2.0,1.75,2.0,1.75,2.0,1;1;1;1;1;1;1;3;3
6,lsxp-WeiCengKai-QiYuanBao.xml,1.0,1.0,2.0,1.0,3.0,4;4
7,lsxp-WoZhuYe-ZhuiHanXin.xml,2.0,1.0,2.0,1.0,3.0,4;4
8,lsxp-YiShiWu-YuCangJian.xml,1.0,1.0,1.0,1.0,2.0
9,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,1.0,2.0
10,lsxp-ZheYiFeng-DingJunShan.xml,2.0,1.0,2.0,1.0,3.0,4
11,lsxp-ZouYingLong-DaYanSong.xml,1.0,1.0,2.0,1.0,3.0,4;8;6;5
12,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,1.0,1.0,1.0,2.0
13,sdxp-DangNianHan-SanJiZhang.xml,2.0,1.0,2.0,1.0,3.0,4;4;4
14,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,3.0,4;4;4;4;8
15,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,4
Avg,,1.0,1.0,2.0,1.0,3.0,4;48;40;8;4;4;4;5;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;8;6;5;4;4;4;4;4;4;4;8;4
mdn-ls-xp-kb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,2.0,1.0,2.0,1.0,3.0,4;48
2,lsxp-CiShiJian-HuaiHeYing-2.xml,2.0,1.0,2.0,1.0,2.0,40
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,8;4
4,lsxp-JiangShenEr-SanJiaDian.xml,2.0,1.0,2.0,1.0,3.0,5;4;5
5,lsxp-JianMaSu-ZhanMaSu.xml,2.0,2.0,2.0,1.0,2.0
6,lsxp-WeiCengKai-QiYuanBao.xml,1.0,1.0,2.0,1.0,2.0
7,lsxp-WoZhuYe-ZhuiHanXin.xml,2.0,1.0,2.0,1.0,3.0,4
8,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,1.0,2.0
9,lsxp-ZheYiFeng-DingJunShan.xml,2.0,1.0,2.0,1.0,3.0,4
10,lsxp-ZouYingLong-DaYanSong.xml,1.0,1.0,2.0,1.0,3.0,4
11,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,1.0,1.25,1.0,1.25,2;2;2;2;2
12,sdxp-DangNianHan-SanJiZhang.xml,2.0,1.0,2.0,1.0,3.0,4
13,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,3.0,4;8
14,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,1.0,3.0
Avg,,1.0,1.0,2.0,1.0,3.0,4;48;40;8;4;5;4;5;4;4;4;4;4;8
mdn-ls-xp-kb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,1.0,1.0,2.0,1.0,3.0
2,lsxp-CiShiJian-HuaiHeYing-2.xml,1.0,1.0,2.0,1.0,3.0
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,4;4
4,lsxp-JiangShenEr-SanJiaDian.xml,1.0,1.0,2.75,1.0,5.0
5,lsxp-JianMaSu-ZhanMaSu.xml,2.0,1.0,2.0,1.0,3.0
6,lsxp-WeiCengKai-QiYuanBao.xml,1.5,1.0,2.0,1.0,3.0,4;4
7,lsxp-WoZhuYe-ZhuiHanXin.xml,2.0,1.0,2.0,1.0,3.0,4
8,lsxp-YiShiWu-YuCangJian.xml,1.0,1.0,1.0,1.0,2.0
9,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,1.0,1.0
10,lsxp-ZheYiFeng-DingJunShan.xml,1.5,1.0,2.0,1.0,3.0
11,lsxp-ZouYingLong-DaYanSong.xml,1.0,1.0,2.0,1.0,3.0,8;6;5
12,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,1.0,1.0,1.0,2.0
13,sdxp-DangNianHan-SanJiZhang.xml,1.0,1.0,2.5,1.0,4.0
14,sdxp-SuLongWei-WuJiaPo.xml,1.0,1.0,2.0,1.0,3.0,4;4;4
15,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,2.0,1.0,3.0,4
Avg,,1.0,1.0,2.0,1.0,3.0,4;4;4;4;4;4;4;5;5;4;4;4;4;8;6;5;4;4;4;4;4;4
mdn-da-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,4.0,3.0,6.25,1.0,11.0,47;12;48;16;51;12;13
2,daeh-LiYanFei-DaBaoGuo.xml,4.5,3.0,5.0,1.0,7.0,11;44;12;34;12;9;11;39;12;40;11;17
3,daeh-LiYanFei-ErJinGong.xml,4.0,3.0,5.0,1.0,8.0,13;9;47;18;9;10;9;14;45
4,daeh-NuZiYou-TouJunBieYao.xml,4.0,3.0,6.25,2.0,11.0,51;13;52;40;12;20
5,daeh-SunShangXiang-BieHuangGong.xml,4.0,3.0,5.0,1.0,8.0,12;49;13;43;12;59;13;9;10;13;9;9;11;17
6,daeh-TanHongYan-HuoXiaoYu.xml,7.0,4.0,13.0,1.0,26.0,29;49;70
7,daeh-WangChunE-SanNiangJiaoZi.xml,4.0,2.0,4.0,1.0,7.0,10;8;55;11;44;13;12;10;10;39;10
8,daeh-WuDuanQiao-BiYuZan.xml,6.5,3.75,11.25,1.0,20.0,23;62;50;54
9,daeh-ZaoBuXing-HeHouMaDian.xml,2.0,2.0,3.0,1.0,4.0,12;6;6;6;6;5;7;5;6;6;22;6;6;6;27
10,daeh-ZiNaRi-ErJinGong.xml,3.0,2.0,5.0,1.0,9.0,13;61;11;35;13;11;11;10;55;10;13;10;27;12;38
11,daeh-ZuoChunGui-XiShi.xml,4.0,3.0,7.25,1.0,13.0,50;43;15;56
12,dldeh-ShouBiPo-ChunQiuPei.xml,5.5,3.75,7.0,1.0,10.0,16;59;12;55;17;64;12;15
Avg,,4.0,2.0,6.0,1.0,12.0,47;48;16;51;13;44;34;39;40;17;13;47;18;14;45;51;13;52;40;20;49;13;43;59;13;13;17;29;14;13;13;13;49;13;26;15;18;14;70;18;55;44;13;39;23;62;17;50;20;13;15;14;13;54;17;13;22;27;13;61;35;13;55;13;27;38;13;50;43;15;56;16;59;55;17;64;15
mdn-da-eh-mb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,5.0,3.75,6.0,3.0,6.0,11;47;16;51
2,daeh-LiYanFei-DaBaoGuo.xml,5.0,4.0,6.0,1.0,7.0,11;44;12;11
3,daeh-LiYanFei-ErJinGong.xml,5.0,4.0,6.25,3.0,9.0,13;18
4,daeh-NuZiYou-TouJunBieYao.xml,5.0,3.75,6.75,3.0,11.0,51;40
5,daeh-SunShangXiang-BieHuangGong.xml,5.0,4.75,7.25,3.0,8.0,12;49;12;59
6,daeh-TanHongYan-HuoXiaoYu.xml,8.0,6.75,13.25,1.0,15.0,29;26
7,daeh-WangChunE-SanNiangJiaoZi.xml,4.0,3.0,5.25,1.0,8.0,10;55;13
8,daeh-WuDuanQiao-BiYuZan.xml,11.0,7.0,12.5,2.0,20.0,23;62
9,daeh-ZaoBuXing-HeHouMaDian.xml,4.0,2.25,4.0,1.0,6.0,12
10,daeh-ZiNaRi-ErJinGong.xml,4.0,3.0,6.0,1.0,10.0,13;61;13;12
11,daeh-ZuoChunGui-XiShi.xml,4.5,3.75,8.75,2.0,15.0,50;56
12,dldeh-ShouBiPo-ChunQiuPei.xml,6.0,4.25,7.0,2.0,7.0,16;59;17;64
Avg,,5.0,4.0,7.0,1.0,11.0,47;16;51;44;12;13;18;51;40;12;49;12;59;29;14;13;13;13;26;15;55;13;23;62;20;13;12;13;61;13;12;13;50;15;56;16;59;17;64
mdn-da-eh-mb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-LiYanFei-DaBaoGuo.xml,3.0,2.0,5.0,1.0,7.0,39
2,daeh-LiYanFei-ErJinGong.xml,4.0,3.25,5.0,2.0,7.0,9
3,daeh-SunShangXiang-BieHuangGong.xml,3.0,2.0,4.0,1.0,5.0,8;9;11
4,daeh-TanHongYan-HuoXiaoYu.xml,7.0,3.5,11.0,2.0,14.0,70
5,daeh-WangChunE-SanNiangJiaoZi.xml,3.0,1.0,4.0,1.0,5.0,10;39
6,daeh-WuDuanQiao-BiYuZan.xml,3.5,3.0,9.75,1.0,13.0,54
7,daeh-ZaoBuXing-HeHouMaDian.xml,2.0,2.0,3.0,1.0,4.0,6;5;5;6;6;6
8,daeh-ZiNaRi-ErJinGong.xml,2.0,2.0,4.0,1.0,7.0,10;55
Avg,,3.0,2.0,4.0,1.0,7.0,39;9;8;9;11;8;14;70;10;39;11;11;13;54;10;55
mdn-da-eh-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,3.5,2.0,7.0,1.0,13.0,48
2,daeh-LiYanFei-DaBaoGuo.xml,5.0,3.0,5.0,1.0,7.0,12;34;9;11;12;40;17
3,daeh-LiYanFei-ErJinGong.xml,3.5,2.0,4.25,1.0,7.0,47;10;8;14;45
4,daeh-NuZiYou-TouJunBieYao.xml,4.0,3.0,6.25,2.0,7.0,13;52;12;20
5,daeh-SunShangXiang-BieHuangGong.xml,4.0,3.0,5.0,1.0,6.0,13;43;13;9;10;13;9;17
6,daeh-TanHongYan-HuoXiaoYu.xml,7.0,3.0,10.25,1.0,18.0,49
7,daeh-WangChunE-SanNiangJiaoZi.xml,4.0,2.0,4.0,1.0,7.0,11;44;12;10;10
8,daeh-WuDuanQiao-BiYuZan.xml,5.5,4.75,12.0,1.0,17.0,50
