mdn-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,3.0,2.0,5.0,1.0,9.0,17;43;13;19;12;15
2,lseh-TanXiongDi-SangYuanJiZi.xml,3.0,2.0,6.0,1.0,12.0,20;23;13;16;16
3,lseh-XiRiLi-BaoLianDeng.xml,2.0,2.0,4.0,1.0,7.0,23;10;9;12;8;10;8;9;10;33
4,lseh-YiLunMing-WenZhaoGuan-1.xml,3.0,2.0,6.0,1.0,11.0,20;41;17;26;20;15;28;13;15
5,lseh-YiLunMing-WenZhaoGuan-2.xml,3.0,2.0,6.0,1.0,10.0,19;39;17;26;20;15;28;14;18
6,lseh-YiLunMing-ZhuoFangCao-1.xml,4.0,2.0,6.0,1.0,11.0,14;26;59;16;14;24;19;16;13;21;18;39
7,lseh-YiLunMing-ZhuoFangCao-2.xml,2.0,1.0,5.0,1.0,10.0,17;41;12;14;28
8,lseh-YiLunMing-ZhuoFangSuDian.xml,3.0,2.0,6.0,1.0,11.0,18;47;16;18;15;17;28
9,lseh-ZiNaRi-HongYangDong.xml,2.0,2.0,5.0,1.0,9.0,15;19;31;12;10;15;36
Avg,,3.0,2.0,5.0,1.0,9.0,17;43;13;19;12;15;20;23;12;13;16;12;16;23;10;12;10;10;33;10;20;41;17;26;20;11;15;10;28;13;15;19;39;17;26;20;10;15;10;28;14;18;14;26;10;59;16;14;24;19;16;10;11;10;13;21;11;18;39;17;10;41;12;14;10;28;10;18;47;16;11;18;11;10;15;17;28;15;19;31;12;10;15;36
mdn-ls-eh-mb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,4.0,3.0,6.25,2.0,9.0,17;43
2,lseh-TanXiongDi-SangYuanJiZi.xml,3.0,2.0,6.0,1.0,12.0,20;23
3,lseh-XiRiLi-BaoLianDeng.xml,3.0,2.5,4.5,1.0,6.0,23;12
4,lseh-YiLunMing-WenZhaoGuan-1.xml,5.0,3.0,9.0,1.0,10.0,20;41;20
5,lseh-YiLunMing-WenZhaoGuan-2.xml,4.0,3.0,8.0,1.0,9.0,19;39;20
6,lseh-YiLunMing-ZhuoFangCao-1.xml,8.0,4.5,15.0,2.0,26.0,59
7,lseh-YiLunMing-ZhuoFangCao-2.xml,5.0,2.5,8.5,1.0,17.0,41
8,lseh-YiLunMing-ZhuoFangSuDian.xml,7.0,3.5,10.0,2.0,18.0,47
9,lseh-ZiNaRi-HongYangDong.xml,4.0,3.0,6.0,1.0,9.0,15;12
Avg,,4.0,3.0,8.0,1.0,15.0,17;43;20;23;23;20;41;20;19;39;20;26;59;19;16;17;41;18;47
mdn-ls-eh-mb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,3.0,2.25,3.75,2.0,5.0,19
2,lseh-XiRiLi-BaoLianDeng.xml,2.0,2.0,3.5,1.0,5.0,8;7;8;7;10;6
3,lseh-YiLunMing-WenZhaoGuan-1.xml,3.0,1.0,6.0,1.0,11.0,28
4,lseh-YiLunMing-WenZhaoGuan-2.xml,3.0,2.0,5.0,1.0,8.0,10;28
5,lseh-YiLunMing-ZhuoFangCao-1.xml,4.0,2.0,5.0,1.0,9.0,10
6,lseh-YiLunMing-ZhuoFangCao-2.xml,2.0,1.0,3.5,1.0,7.0
7,lseh-YiLunMing-ZhuoFangSuDian.xml,3.0,2.0,4.0,1.0,7.0,8;9
8,lseh-ZiNaRi-HongYangDong.xml,2.0,2.0,3.0,1.0,4.0,5;6;6;6;9;6
Avg,,2.0,2.0,4.0,1.0,7.0,19;8;8;10;8;11;8;8;8;8;28;8;10;8;8;8;28;10;9;8;9;9
mdn-ls-eh-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,2.0,2.0,4.0,1.0,6.0,13;12;15
2,lseh-TanXiongDi-SangYuanJiZi.xml,3.0,1.75,6.25,1.0,13.0,16;16
3,lseh-XiRiLi-BaoLianDeng.xml,3.0,2.0,4.0,1.0,7.0,10;9;10;9;33
4,lseh-YiLunMing-WenZhaoGuan-1.xml,3.0,1.0,5.0,1.0,10.0,17;26;15;13;15
5,lseh-YiLunMing-WenZhaoGuan-2.xml,3.0,2.0,5.0,1.0,9.0,17;26;15;10;14;18
6,lseh-YiLunMing-ZhuoFangCao-1.xml,4.0,2.0,6.0,1.0,11.0,16;14;24;13;21;18;39
7,lseh-YiLunMing-ZhuoFangCao-2.xml,2.0,1.5,4.0,1.0,6.0,9;12;9;8;14;8;10;28
8,lseh-YiLunMing-ZhuoFangSuDian.xml,3.0,2.0,6.0,1.0,11.0,16;18;15;17;28
9,lseh-ZiNaRi-HongYangDong.xml,2.0,2.0,5.0,1.0,9.0,19;31;10;15;36
Avg,,3.0,2.0,5.0,1.0,9.0,13;12;15;12;13;16;16;10;10;33;17;26;15;10;13;15;17;26;15;10;14;18;16;14;24;10;11;13;21;11;18;39;12;14;10;28;16;11;18;15;17;28;19;31;10;15;36
mdn-ls-eh-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,2.5,2.0,4.0,1.0,7.0,12;16;8;10;10;14;13;13;8;16
2,lseh-NiangZiBu-SouGuJiuGu.xml,2.0,1.75,3.0,1.0,4.0,5;6;6;7;5;5;6;5;9;6;5;9;6;6;10
3,lseh-TuZeiZuo-SouGuJiuGu.xml,3.0,2.0,6.0,1.0,12.0,17
4,lseh-WeiGuoJia-HongYangDong-1.xml,3.0,2.0,5.25,1.0,10.0,14;28;15;45;13;14
