mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-CiShiJian-HuaiHeYing-1.xml,0.5,0.5,1.0,0.25,1.5
2,lsxp-CiShiJian-HuaiHeYing-2.xml,0.5,0.5,1.0,0.5,1.5
3,lsxp-DaHeYi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,3.0
4,lsxp-JiangShenEr-SanJiaDian.xml,0.5,0.5,1.0,0.25,1.75,2.0;2.0
5,lsxp-JianMaSu-ZhanMaSu.xml,1.0,1.0,1.5,0.5,2.0,3.0
6,lsxp-WeiCengKai-QiYuanBao.xml,1.0,0.5,1.0,0.5,1.5,2.0;4.0
7,lsxp-WoZhuYe-ZhuiHanXin.xml,0.5,0.5,1.0,0.25,1.5
8,lsxp-YiShiWu-YuCangJian.xml,1.0,0.5,1.0,0.5,1.0
9,lsxp-YiZhuangZhuang-QunYingHui.xml,1.0,1.0,1.0,0.5,1.0
10,lsxp-ZheYiFeng-DingJunShan.xml,1.0,1.0,1.0,0.5,1.5
11,lsxp-ZouYingLong-DaYanSong.xml,0.5,0.5,0.75,0.25,1.0,3.5;1.5;2.0;4.0;2.0;2.0
12,lsxp-ZuoRiLi-YuanMenZhanZi.xml,1.0,0.5,1.0,0.25,1.0
13,sdxp-DangNianHan-SanJiZhang.xml,1.0,0.5,1.25,0.5,2.0
14,sdxp-SuLongWei-WuJiaPo.xml,0.5,0.5,1.0,0.5,1.5,2.0;2.0;2.0;2.0;2.0
15,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,2.0
Avg,,1.0,0.5,1.0,0.25,1.75,2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;3.5;2.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
mdd-da-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,1.875,1.0,2.5,1.0,4.5,6.0;16.5;17.0;6.5;25.0;5.0
2,daeh-LiYanFei-DaBaoGuo.xml,1.5,1.0,2.0,0.25,3.0,5.0;15.5;4.5;12.5;5.0;15.5;4.5;18.75;5.0;11.5
3,daeh-LiYanFei-ErJinGong.xml,1.25,1.0,2.0,0.5,3.0,5.0;15.0;5.25;6.0;15.25
4,daeh-NuZiYou-TouJunBieYao.xml,2.0,1.0,2.0,1.0,3.0,5.0;16.0;4.5;17.0;5.0;14.75;4.5;9.75
5,daeh-SunShangXiang-BieHuangGong.xml,1.5,1.0,2.0,0.25,3.0,5.0;15.5;4.5;15.75;5.0;18.5;4.5;10.0
6,daeh-TanHongYan-HuoXiaoYu.xml,2.0,1.125,3.4375,0.5,5.75,7.75;13.75;7.75;20.25;8.0
7,daeh-WangChunE-SanNiangJiaoZi.xml,1.5,1.0,2.0,0.5,3.0,5.0;16.0;4.5;16.0;5.0;15.0;4.5;4.0
8,daeh-WuDuanQiao-BiYuZan.xml,2.0,1.0,3.5,0.5,7.0,15.75;17.0;17.25;8.0
9,daeh-ZaoBuXing-HeHouMaDian.xml,1.0,1.0,1.5,0.5,2.0,2.5;5.5;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;14.0;3.0;3.0;3.0;2.5;25.5
10,daeh-ZiNaRi-ErJinGong.xml,1.0,1.0,2.0,0.5,3.5,4.75;15.0;4.25;15.75;5.0;4.5;25.625;4.25;12.5;6.5;12.75;6.5;6.0;16.5
11,daeh-ZuoChunGui-XiShi.xml,2.0,1.0,2.625,1.0,5.0,15.75;16.5;24.875
12,dldeh-ShouBiPo-ChunQiuPei.xml,1.875,1.0,2.625,0.5,4.5,5.25;12.75;13.25;18.0
Avg,,1.5,1.0,2.0,0.25,3.5,6.0;16.5;4.5;17.0;6.5;25.0;4.5;5.0;5.0;15.5;4.5;12.5;5.0;15.5;4.5;18.75;5.0;11.5;5.0;15.0;5.25;6.0;15.25;5.0;16.0;4.5;17.0;5.0;14.75;4.5;9.75;5.0;15.5;4.5;15.75;5.0;18.5;4.5;10.0;7.75;4.0;4.0;4.0;13.75;4.0;7.75;3.875;5.0;20.25;5.75;8.0;5.0;16.0;4.5;16.0;5.0;15.0;4.5;4.0;6.75;15.75;5.5;4.75;17.0;3.75;7.0;5.0;3.75;4.25;17.25;5.25;8.0;5.5;4.0;14.0;25.5;4.75;15.0;4.25;15.75;5.0;4.5;25.625;4.25;12.5;6.5;12.75;6.5;6.0;16.5;4.75;15.75;4.5;16.5;5.0;24.875;4.5;5.25;12.75;4.5;13.25;4.5;18.0;4.5
mdd-da-eh-mb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,2.0,1.5,2.5,1.0,2.5,6.0;16.5;6.5;25.0
2,daeh-LiYanFei-DaBaoGuo.xml,2.0,1.125,2.0,0.5,3.0,5.0;15.5;5.0;5.0
3,daeh-LiYanFei-ErJinGong.xml,1.875,1.4375,2.0,1.0,2.0,5.0;3.0;5.25;3.0
4,daeh-NuZiYou-TouJunBieYao.xml,2.0,1.5,2.25,1.0,3.0,5.0;16.0;5.0;14.75
5,daeh-SunShangXiang-BieHuangGong.xml,2.0,1.5,2.25,1.0,3.0,5.0;15.5;5.0;18.5
6,daeh-TanHongYan-HuoXiaoYu.xml,2.375,2.0,4.0,1.0,4.0,7.75;7.75
7,daeh-WangChunE-SanNiangJiaoZi.xml,2.0,1.5,2.1875,1.0,3.0,5.0;16.0;5.0
8,daeh-WuDuanQiao-BiYuZan.xml,2.875,2.0,3.6875,1.0,3.75,6.75;15.75;7.0
9,daeh-ZaoBuXing-HeHouMaDian.xml,2.0,1.3125,2.375,1.0,3.0,5.5
10,daeh-ZiNaRi-ErJinGong.xml,2.0,1.0,2.5625,0.5,4.75,15.0;5.0;6.5;6.5
11,daeh-ZuoChunGui-XiShi.xml,2.0,1.46875,2.625,1.0,3.0,4.75;15.75;5.0;24.875
12,dldeh-ShouBiPo-ChunQiuPei.xml,2.0,1.5625,2.625,0.5,3.0,5.25;12.75;4.5;18.0
Avg,,2.0,1.5,3.0,0.5,5.25,6.0;16.5;6.5;25.0;15.5;16.0;14.75;15.5;18.5;7.75;7.75;16.0;6.75;15.75;7.0;5.5;15.0;6.5;6.5;15.75;24.875;12.75;18.0
mdd-da-eh-mb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-LiYanFei-DaBaoGuo.xml,1.0,1.0,2.0,0.25,3.0,15.5
2,daeh-LiYanFei-ErJinGong.xml,1.375,1.0,1.5,0.5,2.0,3.0
3,daeh-SunShangXiang-BieHuangGong.xml,1.0,1.0,1.5,0.25,2.0,3.0;3.0;3.0
4,daeh-TanHongYan-HuoXiaoYu.xml,2.0,1.0,3.875,0.5,5.0,20.25
5,daeh-WangChunE-SanNiangJiaoZi.xml,1.0,1.0,1.5,0.5,2.0,3.0;15.0
6,daeh-WuDuanQiao-BiYuZan.xml,1.25,1.0,2.5625,0.5,4.25,17.25
7,daeh-ZaoBuXing-HeHouMaDian.xml,1.0,1.0,1.5,0.5,2.0,3.0;3.0;3.0;4.0;3.0;3.0;3.0
8,daeh-ZiNaRi-ErJinGong.xml,1.0,0.875,1.125,0.5,1.5,3.0;4.5;2.0;25.625;2.0;3.0
Avg,,1.0,1.0,1.6875,0.25,2.0,3.0;15.5;3.0;3.0;3.0;3.0;2.75;5.0;20.25;3.0;15.0;2.75;2.75;4.25;17.25;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.5;25.625;3.0
mdd-da-eh-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-CanQiQi-WuLongZuo.xml,1.5,1.0,2.625,1.0,5.0,17.0
2,daeh-LiYanFei-DaBaoGuo.xml,1.25,1.0,2.0,0.5,3.0,4.5;12.5;4.5;18.75;11.5
3,daeh-LiYanFei-ErJinGong.xml,1.0,1.0,1.5,0.5,2.0,15.0;3.0;6.0;15.25
4,daeh-NuZiYou-TouJunBieYao.xml,1.75,1.0,2.0,1.0,2.0,4.5;17.0;4.5;9.75
5,daeh-SunShangXiang-BieHuangGong.xml,1.25,1.0,2.0,0.25,3.0,4.5;15.75;4.5;10.0
6,daeh-TanHongYan-HuoXiaoYu.xml,2.0,1.0,3.0,0.5,5.75,13.75;8.0
7,daeh-WangChunE-SanNiangJiaoZi.xml,1.5,1.0,2.0,1.0,3.0,4.5;16.0;4.5;4.0
8,daeh-WuDuanQiao-BiYuZan.xml,1.625,1.0,3.1875,0.5,5.5,17.0;8.0
9,daeh-ZaoBuXing-HeHouMaDian.xml,1.0,1.0,1.5,0.5,2.0,3.0;3.0;3.0;3.0;14.0;3.0;2.5;25.5
10,daeh-ZiNaRi-ErJinGong.xml,1.0,1.0,2.0,0.5,3.5,4.25;15.75;4.25;12.5;12.75;6.0;16.5
11,daeh-ZuoChunGui-XiShi.xml,1.75,1.0,2.53125,1.0,4.5,16.5
12,dldeh-ShouBiPo-ChunQiuPei.xml,1.5,1.0,2.25,0.5,3.5,4.5;13.25;4.5
Avg,,1.25,1.0,2.0,0.25,3.5,4.5;17.0;4.5;5.0;4.5;12.5;4.5;18.75;11.5;15.0;6.0;15.25;4.5;17.0;4.5;9.75;4.5;15.75;4.5;10.0;4.0;13.75;3.875;5.75;8.0;4.5;16.0;4.5;4.0;5.5;4.75;17.0;5.0;3.75;5.25;8.0;14.0;25.5;4.25;15.75;4.25;12.5;12.75;6.0;16.5;4.5;16.5;4.5;4.5;13.25;4.5
mdd-da-eh-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,1.0,0.9375,2.5,0.5,4.0,5.0;8.75;11.0;10.0
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,0.5,0.5,1.0,0.25,1.5,4.0;2.25;2.0;4.5;2.5;10.0
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,0.5,0.5,1.0,0.125,1.5,2.75;3.5;2.0;12.0;2.5;6.5;3.0;5.0;4.0;2.0;15.75;3.5;2.0
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,0.5,0.5,1.0,0.25,1.5,3.5;4.0;2.5;12.25;2.5;7.0;3.0;5.5;2.0;4.0;2.0;17.0;4.0;2.0;2.0
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,1.0,0.5,1.375,0.5,1.5,3.0;4.25;11.0;3.25;3.0;3.5
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,0.75,0.5,1.0,0.5,1.5,2.0;4.0;2.0;2.0;8.0
Avg,,0.5,0.5,1.0,0.125,1.75,4.0;4.0;2.5;2.5;3.0;5.0;8.75;4.0;4.0;3.0;2.0;3.0;11.0;3.5;3.0;10.0;4.0;2.25;2.0;4.5;2.5;10.0;2.75;3.5;2.0;12.0;2.5;6.5;3.0;5.0;4.0;2.0;15.75;3.5;2.0;3.5;4.0;2.5;12.25;2.5;7.0;3.0;5.5;2.0;4.0;2.0;17.0;4.0;2.0;2.0;3.0;4.25;11.0;3.25;3.0;3.5;2.0;4.0;2.0;2.0;8.0
mdd-da-eh-yb-s1.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,1.25,1.0,3.75,0.75,4.0
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,0.5,0.5,1.5,0.25,2.25,4.0
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,1.0,0.5,1.1875,0.25,1.25,2.75;3.5;2.5;6.5;3.0;5.0;3.5
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,1.0,0.5625,1.375,0.25,2.5,3.5;4.0;7.0;3.0;5.5;4.0
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,1.0,1.0,1.5,0.5,1.5,3.0;4.25;3.25;3.0
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,1.0,0.5,2.0,0.5,4.0
Avg,,1.0,0.5,2.0,0.25,4.25,6.5;5.0;7.0;5.5
mdd-da-eh-yb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,0.875,0.5,1.375,0.5,1.5,3.0;3.0;11.0
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,0.75,0.5,1.0,0.25,1.5,4.5
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,0.5,0.5,0.875,0.25,1.375,2.0
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,0.5,0.5,1.0,0.25,1.5,2.0;2.0
5,sdeh-WenSanNiang-SanNiangJiaoZi.xml,0.75,0.5,1.0,0.5,1.0
Avg,,0.5,0.5,1.0,0.25,1.5,3.0;3.0;11.0;4.5;2.0;2.0;2.0
mdd-da-eh-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daeh-NaRiFeng-YuanXiaoMi.xml,1.0,1.0,1.8125,0.5,3.0,5.0;8.75;3.5;10.0
2,daeh-XiaoNuCai-SanNiangJiaoZi.xml,0.5,0.5,1.0,0.25,1.5,2.0;2.5;10.0
3,daeh-ZiNaRi-ZhuangYuanMei-1.xml,0.5,0.5,0.75,0.125,1.0,1.5;2.0;12.0;1.5;4.0;1.5;1.5;15.75;1.25;2.0
4,daeh-ZiNaRi-ZhuangYuanMei-2.xml,0.5,0.5,1.0,0.25,1.5,2.5;12.25;4.0;17.0;2.0;2.0
5,daeh-ZuoRiGong-TaiZhenWaiChuan.xml,0.75,0.5,1.0,0.5,1.5,11.0;3.5
6,sdeh-WenSanNiang-SanNiangJiaoZi.xml,0.5,0.5,1.0,0.5,1.5,2.0;8.0
Avg,,0.5,0.5,1.0,0.125,1.75,2.5;5.0;8.75;2.0;3.5;3.0;10.0;2.0;2.5;10.0;2.0;12.0;4.0;15.75;2.0;2.5;12.25;4.0;17.0;2.0;2.0;11.0;3.5;2.0;8.0
mdd-da-xp-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,1.5,1.0,2.0,0.25,3.375,13.875;12.625;9.375;5.75;7.0
2,daxp-DuiLingHua-BiYuZan.xml,1.625,1.0,2.0,1.0,3.5,8.25;13.0;12.5;6.0
3,daxp-ErDeFu-HongNiGuan.xml,1.625,1.0,2.375,1.0,4.0,9.375;11.0;14.0;13.5;10.0;6.0;10.0;8.0
4,daxp-LaoDieDie-SanJiZhang-1.xml,1.5,1.0,2.0,0.25,3.5,6.75;9.125;3.75;4.0
5,daxp-LaoDieDie-SanJiZhang-2.xml,1.5,1.0,2.0,0.25,2.75,9.0;4.0;13.0;15.5;4.0
6,daxp-QiaoLouShang-HuangShanLei.xml,1.5,1.0,2.0,0.25,2.75,10.75;3.75;13.0;3.75;9.5
7,daxp-WoZhuYe-SiLangTanMu.xml,2.0,1.0,2.0,1.0,3.0,12.625;15.0;11.875;12.25;4.0;17.25;10.0
8,daxp-XiRiLi-LongFengChengXiang.xml,2.0,1.5,3.75,1.0,6.5,11.75;16.0;12.25;12.75
9,daxp-XiRiLiang-LongFengChengXiang.xml,2.0,1.5,3.4375,0.75,5.75,8.25;16.5;12.75
10,daxp-XiShiNv-XiShi.xml,2.0,1.0,2.0,1.0,3.0,10.0;12.75;11.75;13.25;3.75;12.625;3.75;5.5
Avg,,2.0,1.0,2.0625,0.25,3.5,13.875;12.625;9.375;5.75;7.0;8.25;13.0;12.5;6.0;9.375;11.0;14.0;4.0;13.5;10.0;6.0;10.0;8.0;6.75;9.125;3.75;4.0;9.0;4.0;13.0;15.5;4.0;10.75;3.75;13.0;3.75;9.5;12.625;15.0;11.875;12.25;4.0;17.25;10.0;5.0;11.75;6.0;16.0;4.5;12.25;4.25;12.75;6.5;5.75;4.0;8.25;4.0;16.5;4.5;12.75;5.25;5.75;10.0;12.75;11.75;13.25;3.75;12.625;3.75;5.5
mdd-da-xp-mb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,1.0,1.0,2.0,0.25,3.375,12.625
2,daxp-DuiLingHua-BiYuZan.xml,1.625,1.0,2.0,1.0,2.25,8.25;12.5
3,daxp-ErDeFu-HongNiGuan.xml,1.75,1.0,2.375,1.0,3.0,9.375;14.0;10.0;10.0
4,daxp-LaoDieDie-SanJiZhang-1.xml,1.5,0.75,2.0,0.25,2.75,6.75
5,daxp-LaoDieDie-SanJiZhang-2.xml,1.375,1.0,2.0,0.25,2.75,9.0;15.5
6,daxp-QiaoLouShang-HuangShanLei.xml,1.5,1.0,2.0,0.25,2.75,10.75
7,daxp-WoZhuYe-SiLangTanMu.xml,2.0,1.0,2.0,1.0,3.0,12.625;12.25;10.0
8,daxp-XiRiLi-LongFengChengXiang.xml,2.0,1.5,3.375,1.0,5.0,11.75;12.25;6.5
9,daxp-XiRiLiang-LongFengChengXiang.xml,1.875,1.125,3.1875,0.75,4.5,8.25;12.75
10,daxp-XiShiNv-XiShi.xml,2.0,1.0,2.0,1.0,3.0,10.0;11.75;13.25
Avg,,1.75,1.0,2.0,0.25,3.5,12.625;8.25;12.5;9.375;14.0;10.0;10.0;6.75;9.0;15.5;10.75;12.625;12.25;10.0;5.0;11.75;4.5;12.25;6.5;8.25;4.5;12.75;10.0;11.75;13.25
mdd-da-xp-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChenSanLiang-ChenSanLiangPaTang.xml,1.875,1.0,2.0625,0.5,3.0,13.875;9.375;5.75;7.0
2,daxp-DuiLingHua-BiYuZan.xml,1.625,1.0,2.125,1.0,3.5,13.0;6.0
3,daxp-ErDeFu-HongNiGuan.xml,1.625,1.0,2.375,1.0,4.0,11.0;13.5;6.0;8.0
4,daxp-LaoDieDie-SanJiZhang-1.xml,1.625,1.0,2.0,0.75,3.5,9.125;3.75;4.0
5,daxp-LaoDieDie-SanJiZhang-2.xml,1.75,1.0,2.0,1.0,2.5,4.0;13.0;4.0
6,daxp-QiaoLouShang-HuangShanLei.xml,1.625,1.0,2.0,1.0,2.0,3.75;13.0;3.75;9.5
7,daxp-WoZhuYe-SiLangTanMu.xml,2.0,1.0,2.625,1.0,4.0,15.0;11.875;17.25
8,daxp-XiRiLi-LongFengChengXiang.xml,2.0,2.0,4.0,1.0,6.0,16.0;12.75
9,daxp-XiRiLiang-LongFengChengXiang.xml,2.0,1.75,3.8125,1.0,5.75,16.5
10,daxp-XiShiNv-XiShi.xml,2.0,1.0,2.0,1.0,2.75,12.75;3.75;12.625;3.75;5.5
Avg,,2.0,1.0,2.5,0.5,4.25,13.875;9.375;5.75;7.0;13.0;6.0;11.0;13.5;6.0;8.0;9.125;13.0;13.0;9.5;15.0;11.875;17.25;6.0;16.0;12.75;5.75;16.5;5.25;5.75;12.75;12.625;5.5
mdd-da-xp-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,1.5,0.25,2.0,3.0;3.0;3.0;3.0
2,daxp-DangRiLi-SuoLinNang.xml,1.5,1.0,2.0,0.5,3.5,7.75;7.75;4.0;11.5;5.5;8.0;7.5;5.0
3,daxp-LaoDieDie-DaYuShaJia-1.xml,2.0,1.0,2.0,0.5,3.0,6.0;6.0
4,daxp-LaoDieDie-DaYuShaJia-2.xml,2.0,1.0,2.0,0.5,3.0,5.75;4.0;6.0
5,daxp-LaoDieDie-YuZhouFeng.xml,2.0,1.0,2.0,1.0,3.0,6.75;6.0;4.0;5.0
6,daxp-MengJunZi-ChunQiuPei-1.xml,2.0,1.0,2.0,0.125,3.25,9.5;3.75;5.75;5.75;3.75;3.75
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,1.0,2.0,0.5,3.0,8.0;4.0;4.5;6.0;4.0;4.5;4.0
8,daxp-NiDeFu-FenHeWan.xml,2.0,1.0,2.0,0.5,2.75,12.0;6.0;4.0;6.0
9,daxp-QiaoLouShang-HuangShanLei.xml,1.0,1.0,2.0,0.25,3.5,5.25;14.0;8.0;7.0;11.75;3.75;4.0;6.0;4.0
10,daxp-WoDeNiang-XinAnYi.xml,1.0,0.5,1.0,0.25,1.5,2.0;3.0;3.0;7.0;2.0
Avg,,1.5,1.0,2.0,0.125,3.5,7.75;7.75;4.0;11.5;5.5;8.0;7.5;5.0;6.0;6.0;5.75;4.0;6.0;6.75;6.0;4.0;5.0;9.5;3.75;5.75;5.75;3.75;3.75;8.0;4.0;4.5;6.0;4.0;4.5;4.0;12.0;6.0;4.0;6.0;5.25;14.0;8.0;7.0;11.75;3.75;4.0;6.0;4.0;7.0
mdd-da-xp-yb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,1.5,0.25,1.75
2,daxp-DangRiLi-SuoLinNang.xml,1.5,1.0,2.0,0.5,3.5,7.75
3,daxp-LaoDieDie-DaYuShaJia-1.xml,2.0,1.375,2.0,0.5,2.5,6.0;6.0
4,daxp-LaoDieDie-DaYuShaJia-2.xml,2.0,1.375,2.0,0.5,2.0,3.0;5.75;6.0
5,daxp-LaoDieDie-YuZhouFeng.xml,2.0,1.0,2.0,1.0,2.0,6.75
6,daxp-MengJunZi-ChunQiuPei-1.xml,2.0,1.0,2.0,1.0,3.0,9.5;5.75
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,1.0,2.0,0.5,3.0,8.0;6.0;4.0
8,daxp-NiDeFu-FenHeWan.xml,1.5,1.0,2.0,0.5,2.75,12.0
9,daxp-QiaoLouShang-HuangShanLei.xml,1.0,1.0,2.0,0.5,3.0,14.0;11.75;6.0
10,daxp-WoDeNiang-XinAnYi.xml,1.0,0.6875,1.0,0.25,1.0,2.0;3.0;1.5;7.0
Avg,,1.5,1.0,2.0,0.25,3.5,7.75;6.0;6.0;5.75;6.0;6.75;9.5;5.75;8.0;6.0;4.0;12.0;14.0;11.75;6.0;7.0
mdd-da-xp-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,1.0,1.5,0.75,2.0,3.0;3.0;3.0;3.0
2,daxp-DangRiLi-SuoLinNang.xml,1.5,1.0,2.0,0.5,3.0,7.75;4.0;11.5;5.5;8.0;7.5;5.0
3,daxp-LaoDieDie-DaYuShaJia-1.xml,2.0,1.0,2.125,1.0,3.0
4,daxp-LaoDieDie-DaYuShaJia-2.xml,2.0,1.0,2.0,1.0,3.0,4.0
5,daxp-LaoDieDie-YuZhouFeng.xml,2.0,1.0,2.5625,1.0,4.0,6.0;5.0
6,daxp-MengJunZi-ChunQiuPei-1.xml,2.0,1.0,2.0,0.125,3.25,3.75;5.75;3.75;3.75
7,daxp-MengJunZi-ChunQiuPei-2.xml,2.0,1.0,2.0,0.5,3.0,4.0;4.5;4.0;4.5
8,daxp-NiDeFu-FenHeWan.xml,2.0,2.0,2.0,1.0,6.0
9,daxp-QiaoLouShang-HuangShanLei.xml,1.0,1.0,2.0,0.25,3.5,5.25;8.0;7.0;3.75;4.0;4.0
10,daxp-WoDeNiang-XinAnYi.xml,1.0,0.5,1.0625,0.5,1.5,3.0;2.0
Avg,,1.5,1.0,2.0,0.125,3.5,7.75;4.0;11.5;5.5;8.0;7.5;5.0;4.0;6.0;4.0;5.0;3.75;5.75;3.75;3.75;4.0;4.5;4.0;4.5;6.0;4.0;6.0;5.25;8.0;7.0;3.75;4.0;4.0
mdd-da-xp-kb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,0.5,1.0,0.25,1.75,2.0;2.0;2.0;2.0;2.0;13.5;2.0;2.0;2.0
2,daxp-DangRiLi-SuoLinNang.xml,1.0,0.5,1.0,0.25,1.5,2.0;4.0
3,daxp-DiTouLi-NvQiJie.xml,0.5,0.5,1.0,0.25,1.5,2.0;2.0
4,daxp-ErTingDe-SuoLinNang.xml,1.0,0.5,1.0,0.25,1.5,2.0;3.0;2.0;2.5;2.0;13.0;2.0;2.5
5,daxp-FeiShiWo-TaoHuaCun.xml,1.0,0.5,1.0,0.25,1.5,3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
6,daxp-MengTingDe-MuiGuiYingGuaShuai.xml,0.5,0.5,1.0,0.25,1.0,2.0;3.0;2.0;5.0
7,daxp-MuQinBu-FengHuanChao.xml,0.875,0.5,1.0,0.5,1.5,2.0;2.0
8,daxp-SuSanLi-NvQiJie.xml,0.5,0.5,1.0,0.25,1.5,2.0;4.0
9,daxp-TingTaYan-ZuoGong.xml,1.0,0.5,1.0,0.25,1.0,2.0;6.0;2.0;2.0
10,daxp-WoHeNi-SangYuanHui.xml,0.5,0.5,1.0,0.5,1.0,2.0;2.0;2.0
11,sdxp-DangNianHan-SanJiZhang.xml,1.0,0.5,1.0,0.25,1.5,2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
12,sdxp-SuLongWei-WuJiaPo.xml,0.5,0.5,1.0,0.25,1.5,2.0;2.0;2.0;2.0;2.0
13,sdxp-WoHeNi-SiLangTanMu.xml,1.0,0.5,1.0,0.5,1.5,2.0;2.0
Avg,,1.0,0.5,1.0,0.25,1.75,2.0;2.0;2.0;2.0;2.0;13.5;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;3.0;2.0;2.5;2.0;13.0;2.0;2.5;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;5.0;2.0;2.0;2.0;4.0;2.0;6.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
mdd-da-xp-kb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,1.0,0.5,1.0,0.5,1.5,13.5
2,daxp-DangRiLi-SuoLinNang.xml,1.0,0.5,1.0,0.5,1.0
3,daxp-DiTouLi-NvQiJie.xml,0.5,0.5,1.0,0.25,1.5
4,daxp-ErTingDe-SuoLinNang.xml,1.0,0.5,1.0,0.5,1.5,13.0
5,daxp-FeiShiWo-TaoHuaCun.xml,1.0,0.5,1.0,0.25,1.5,2.0
6,daxp-MengTingDe-MuiGuiYingGuaShuai.xml,0.5,0.5,1.0,0.25,1.0
7,daxp-MuQinBu-FengHuanChao.xml,1.0,0.5,1.0,0.5,1.5
8,daxp-SuSanLi-NvQiJie.xml,0.5,0.5,1.0,0.5,1.5
9,daxp-TingTaYan-ZuoGong.xml,1.0,0.5,1.0,0.25,1.0,2.0;6.0
10,daxp-WoHeNi-SangYuanHui.xml,0.5,0.5,0.875,0.5,1.0
11,sdxp-DangNianHan-SanJiZhang.xml,1.0,0.5,1.0,0.5,1.5
12,sdxp-SuLongWei-WuJiaPo.xml,0.5,0.5,1.0,0.5,1.5
13,sdxp-WoHeNi-SiLangTanMu.xml,1.0,1.0,1.0,0.5,1.0
Avg,,1.0,0.5,1.0,0.25,1.5,13.5;13.0;2.0;2.0;6.0
mdd-da-xp-kb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,daxp-ChunQiuTing-SuoLinNang.xml,0.75,0.5,1.0,0.25,1.75,2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
2,daxp-DangRiLi-SuoLinNang.xml,1.0,0.5625,1.0,0.25,1.5,2.0;4.0
3,daxp-DiTouLi-NvQiJie.xml,0.5,0.5,1.0,0.25,1.0,2.0;2.0
