mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
9,lseh-ZiNaRi-HongYangDong.xml,2.0,1.0,2.125,1.0,3.0,5.5;5.0
Avg,,2.0,1.0,3.0,0.5,6.0,16.75;6.5;12.75;19.0;6.5;7.5;18.5;6.75;7.75;18.5;6.75;8.0;19.0;7.5;17.5;8.0;17.75
mdd-ls-eh-mb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,1.0,1.0,2.0,0.75,2.0,12.5
2,lseh-XiRiLi-BaoLianDeng.xml,1.0,1.0,2.0,0.5,3.0,5.0;4.5
3,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,1.0,2.0,0.25,3.5,4.0;13.25
4,lseh-YiLunMing-WenZhaoGuan-2.xml,1.0,1.0,2.0,0.25,3.5,4.0;13.0
5,lseh-YiLunMing-ZhuoFangCao-1.xml,1.0,1.0,2.0,0.5,2.75,3.75
6,lseh-YiLunMing-ZhuoFangCao-2.xml,1.0,1.0,1.0,0.5,3.0
7,lseh-YiLunMing-ZhuoFangSuDian.xml,1.0,1.0,1.5,0.5,2.0,4.5;3.0;2.5;3.0;3.0
8,lseh-ZiNaRi-HongYangDong.xml,1.0,1.0,2.0,0.5,3.0
Avg,,1.0,1.0,2.0,0.25,3.5,12.5;5.0;4.5;4.0;13.25;4.0;13.0;3.75;4.5
mdd-ls-eh-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-JinZhongXiang-ShangTianTai.xml,1.0,1.0,2.0,0.5,3.0,5.25;8.0;11.0
2,lseh-TanXiongDi-SangYuanJiZi.xml,1.75,1.0,2.625,1.0,4.25,5.75;10.0;6.25
3,lseh-XiRiLi-BaoLianDeng.xml,1.5,1.0,2.0,0.5,3.5,5.25;11.0;5.0;4.0;25.0
4,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,1.0,2.0,0.25,3.5,5.25;3.75;13.5;4.0;4.75;5.5;10.5
5,lseh-YiLunMing-WenZhaoGuan-2.xml,1.0,1.0,2.0,0.25,3.5,5.5;3.75;13.5;4.0;4.75;5.5;10.5
6,lseh-YiLunMing-ZhuoFangCao-1.xml,1.5,1.0,2.0,0.25,3.0,5.750000000000001;4.25;15.0;3.75;5.25;8.0;20.5
7,lseh-YiLunMing-ZhuoFangCao-2.xml,1.0,1.0,2.0,0.5,3.5,4.5;8.5;6.0;6.5;16.5
8,lseh-YiLunMing-ZhuoFangSuDian.xml,1.375,1.0,2.125,0.25,3.5,6.0;5.25;12.0;4.5;6.0;7.75;17.0
9,lseh-ZiNaRi-HongYangDong.xml,1.0,1.0,2.0,0.5,3.0,10.5;13.5;10.5;5.0;19.75
Avg,,1.0,1.0,2.0,0.25,3.5,5.25;8.0;11.0;4.25;5.75;10.0;6.25;5.25;11.0;5.0;4.0;25.0;5.25;3.75;13.5;4.0;4.75;5.5;10.5;5.5;3.75;13.5;4.0;4.75;5.5;10.5;5.750000000000001;4.25;15.0;3.75;5.25;8.0;20.5;4.5;8.5;6.0;6.5;16.5;6.0;5.25;12.0;4.5;6.0;7.75;17.0;10.5;13.5;10.5;5.0;19.75
mdd-ls-eh-yb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,1.0,1.0,2.0,0.5,3.5,4.5;9.0;4.5;10.0;10.5;5.5;8.75
2,lseh-NiangZiBu-SouGuJiuGu.xml,1.0,0.5,1.0,0.25,1.75,2.5;4.5;2.0;2.0;2.5;2.5;4.5;2.0;2.75;2.25;2.0;2.0;5.0;2.5;4.5;2.0;9.75
3,lseh-TuZeiZuo-SouGuJiuGu.xml,1.0,1.0,2.0,0.5,2.5,4.0;9.0;7.0;6.0;4.0
4,lseh-WeiGuoJia-HongYangDong-1.xml,1.0,1.0,1.5,0.25,1.5,3.75;10.0;2.75;2.5;3.75;16.0;3.75;6.0;7.0
5,lseh-WeiGuoJia-HongYangDong-2.xml,1.0,1.0,2.0,0.25,3.0,9.0;15.0;3.75;6.0;7.0
6,lseh-WeiGuoJia-HongYangDong-3.xml,1.0,1.0,2.125,0.5,3.75,4.0;11.0;4.0;16.5;6.0;7.0
7,lseh-WeiKaiYan-RangXuZhou.xml,1.0,0.5,1.0,0.25,1.5,3.5;5.0;7.5;2.75;5.5;2.0;5.5;3.25
